epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4638,1.3223,2.02599,1.13367,0.88849,0.67405,0.7738,0.4334,1.38834,1.27789,1.18973,0.000665544,0.000665544,0.000665544
2,182.022,1.38392,1.16099,1.15514,0.81709,0.62622,0.69601,0.43055,1.31656,1.528,1.1631,0.00131902,0.00131902,0.00131902
3,263.052,1.38714,1.07062,1.16739,0.8778,0.73959,0.79581,0.47684,1.29038,0.89897,1.13182,0.0019593,0.0019593,0.0019593
4,336.595,1.35973,0.99401,1.14412,0.91082,0.74177,0.81335,0.51416,1.2577,0.82994,1.10346,0.0019406,0.0019406,0.0019406
5,410.12,1.34055,0.95047,1.14241,0.86275,0.72719,0.77923,0.4965,1.25136,0.90288,1.11196,0.0019208,0.0019208,0.0019208
6,483.891,1.30895,0.8944,1.12413,0.92427,0.76751,0.8359,0.54179,1.16785,0.75088,1.05895,0.001901,0.001901,0.001901
7,557.704,1.2846,0.86915,1.1157,0.879,0.74934,0.82489,0.51256,1.24073,0.83258,1.10456,0.0018812,0.0018812,0.0018812
8,631.748,1.25407,0.82286,1.10135,0.90575,0.79008,0.85444,0.54689,1.19474,0.71221,1.0633,0.0018614,0.0018614,0.0018614
9,705.255,1.24072,0.79258,1.08533,0.9055,0.77236,0.83107,0.53907,1.19594,0.71483,1.06147,0.0018416,0.0018416,0.0018416
10,778.55,1.22447,0.78584,1.08472,0.91185,0.788,0.8506,0.56189,1.14903,0.66903,1.05183,0.0018218,0.0018218,0.0018218
11,851.447,1.21735,0.75736,1.07488,0.91109,0.78961,0.85715,0.56099,1.16769,0.67437,1.05103,0.001802,0.001802,0.001802
12,924.872,1.22175,0.75637,1.08105,0.92075,0.7924,0.85379,0.55957,1.15037,0.67236,1.04025,0.0017822,0.0017822,0.0017822
13,998.369,1.20487,0.74902,1.06443,0.91019,0.781,0.84879,0.54976,1.18728,0.65717,1.05498,0.0017624,0.0017624,0.0017624
